501	"<img src=""E4B99E.png"" />"	beg	kerjama	that woman in bacolod	乞食	こじき	beggar	beg, reclining, lying down, fishhook	See someone <i>lying down</i> in a public place with a <i>hook</i> in place of a hand, <b>begging</b> a morsel of rice or a few pence.		3	Lying down, Captain Hook is begging to be spared from the ticking crocodile.	Men beg lying down. Women beg as hookers.	乞	こじき; こつじき【乞食】beggar / begging<br/>ほいとう; ほいと【乞児】being served food outside the meditation hall (at a Zen temple) / serving food; food served / begging; beggar<br/>こう【乞う】to beg; to ask; to request; to invite<br/>いのちごい【命ごい】begging for one's life; pleading for one's life<br/>ものごい【物ごい】beggar; begging<br/>あまごい【雨乞い】praying for rain<br/>いとまごい【暇乞】leave-taking; offering one's resignation; farewell visit<br/>こい【乞い】request; entreaty<br/>そでごい【袖乞い】beggar<br/>こつがい; かたい; かったい; きっかい【乞丐】beggar; bum	18	コツ, キツ, キ, キケ, コチ	こ.う	462	1013	0	[sound:RTK1_keyword_jp_501..mp3]	[sound:RTK1_keyword_en_501.mp3]
512	"<img src=""E8B387.png"" />"	assets	vara	taking out a loan for a downpayment of a bigger loan	資金	しきん	funds; capital	assets, next, ice, lack, yawn, shellfish, clam, oyster, eye, animal legs, eight	The first <i>shells</i> (money) you earn, you use to pay your debts. From then on, the <i>next shells</i> you accumulate become your <b>assets</b>.		13	Assets are the next best thing to money.	The first SHELLS you get you obviously spend, but the NEXT SHELLS are your ASSETS, you should bury them in a low safe place (placement!).	資	しかく【資格】qualifications; requirements; capabilities<br/>しりょう【資料】materials; data; document<br/>しほん【資本】funds; capital<br/>ぶっし【物資】goods; materials<br/>しきん【資金】funds; capital<br/>しげん【資源】resources<br/>ししつ【資質】nature; disposition; temperament; qualities; attributes; talents<br/>しざい【資材】(raw) material<br/>しさん【資産】property; fortune; means; assets<br/>とうし【投資】investment<br/>しゅっし【出資】investment; contribution; financing<br/>がくし【学資】school expenses; education fund<br/>ぐんしきん【軍資金】war funds; campaign funds<br/>ゆうし【融資】financing; loan<br/>しりょく【資力】means; resources; wealth<br/>しりょうかん【資料館】museum; reference library; archive; record office<br/>がいし【外資】foreign capital (e.g. in a company); foreign investment<br/>しきんぐり【資金繰り】fundraising; financing; cash flow<br/>ぐんし【軍資】war materiel; military expenses; war fund; campaign funds<br/>ごうし【合資】joint stocks; entering into partnership	18	シ		473	721	2	[sound:RTK1_keyword_jp_512..mp3]	[sound:RTK1_keyword_en_512.mp3]
513	"<img src=""E5A7BF.png"" />"	figure	figuur	peegli ees jonnimine	姿勢	しせい	attitude; posture; stance; approach; carriage (of the body)	figure, next, ice, lack, yawn, woman	This kanji depicts a <i>woman´s</i> <b>figure</b> as a sort of <i>second</i> self.		9	The next woman always has a better figure! Thinking like that, you´ll end up alone in an old folks home longing for the good old days!	Whenever I am next to a woman, I can´t help but take notice of her figure.	姿	しせい【姿勢】attitude; posture; stance; approach; carriage (of the body)<br/>うしろすがた【後姿】retreating figure; appearance from behind<br/>ようし【容姿】(physical) appearance (of a person); one's face and figure<br/>うしろすがた【後姿】retreating figure; appearance from behind<br/>すがたみ【姿見】dresser; full-length mirror<br/>したい【姿体】figure; form; style<br/>たちすがた【立姿】standing figure; standing posture / dancing pose<br/>ゆうし【勇姿】gallant figure<br/>えすがた【絵姿】portrait<br/>ゆうし【勇姿】gallant figure<br/>ふうし【風姿】appearance; demeanor; demeanour<br/>たちすがた【立姿】standing figure; standing posture / dancing pose<br/>あですがた; えんし【あで姿】charming figure; alluring figure<br/>はれすがた【晴れ姿】appearing in one's finest clothes; appearing in one's hour of triumph<br/>えいし【英姿】noble figure<br/>れいし【麗姿】beautiful figure<br/>きょうし【嬌姿】lovely figure	18	シ	すがた	474	888	1	[sound:RTK1_keyword_jp_513..mp3]	[sound:RTK1_keyword_en_513.mp3]
514	"<img src=""E8ABAE.png"" />"	consult with	konsulteerima	words of a second mouth	諮る	はかる	to consult with; to discuss; to confer; to deliberate	consult with, say, words, keitai, mouth, next, ice, lack, yawn, mouth, mouth2	To seek the <i>words</i> of a <i>second mouth</i> is to <b>consult with</b> someone about something.		16	Having a word with the next mouth over, like a neighbor, is usually a good way to consult with somebody for cheap. Because, you know, actual consultants charge huge sums.	Consulting with is having words with the next mouth.	諮	はかる【諮る】to consult with; to discuss; to confer; to deliberate<br/>しもん【諮問】consultation; question; enquiry; inquiry<br/>しじゅん【咨詢】question; enquiry; inquiry; consultation; advice-seeking	18	シ	はか.る	475	2022	1	[sound:RTK1_keyword_jp_514..mp3]	[sound:RTK1_keyword_en_514.mp3]
515	"<img src=""E8B3A0.png"" />"	compensation	kompensatsioon	klaasist urn pannakse lesele pähe	賠償	ばいしょう	reparations; indemnity; compensation	compensation, shellfish, clam, oyster, eye, animal legs, eight, muzzle, vase, stand up, mouth	Picture a <i>clam</i> used as a <i>muzzle</i> to quiet the complaints of a fisherman´s widow asking <b>compensation</b> for her husband lost at sea.		15	Compensation is money you give to someone to shut them up (i.e. muzzle their mouth).	Compensation is a kind of euphemism for hush money here. Money that muzzles.	賠	ばいしょう【賠償】compensation; reparations; indemnity; damages	19	バイ		476	1961	1	[sound:RTK1_keyword_jp_515..mp3]	[sound:RTK1_keyword_en_515.mp3]
516	"<img src=""E59FB9.png"" />"	cultivate	harima		培う	つちかう	to cultivate; to foster	cultivate, soil, dirt, ground, muzzle, vase, stand up, mouth	The barrel hoops used by many Japanese farmers to stretch clear plastic over row of vegetables in a garden patch in the hopes of <b>cultivating</b> bigger and bigger vegetables is a way of <i>muzzling</i> the <i>soil</i>.		11	To cultivate the land is to tame it, control it. In short, you muzzle it´s unruly, chaotic nature.	The illegal immigrants cultivate the land but are socially and politically muzzled (wear muzzles while they work too).	培	さいばい【栽培】cultivation<br/>ばいよう【培養】cultivation; nurture; culture<br/>つちかう【培う】to cultivate; to foster<br/>ばいようき【培養基】(culture) medium<br/>みずさいばい【水栽培】hydroponics	19	バイ	つちか.う	477	1496	1	[sound:RTK1_keyword_jp_516..mp3]	[sound:RTK1_keyword_en_516.mp3]
517	"<img src=""E58996.png"" />"	divide	jagama		解剖	かいぼう	dissection; autopsy / analysis	divide, muzzle, vase, stand up, mouth, sword, sabre, saber	"To ""<b>divide</b> and conquer"" you use a <i>saber</i> and a <i>muzzle</i>."		10	When you DIVIDE someone, there is sure to be a lot of screaming. That´s why you should use a MUZZLE before using the SABER.	Divide and conquer - first you cut them up (saber) , then you shut them up (muzzle).	剖	かいぼう【解剖】dissection; autopsy / analysis<br/>ぼうけん【剖検】autopsy; necropsy	19	ボウ		478	1375	1	[sound:RTK1_keyword_jp_517..mp3]	[sound:RTK1_keyword_en_517.mp3]
518	"<img src=""E99FB3.png"" />"	sound	heli	tongue wagging in a vase, eventually shattering	音楽	おんがく	music; musical movement	sound, vase, stand up, sun, day, tongue wagging	The kanji for <b>sound</b> depicts something <i>standing</i> in the air over a <i>tongue wagging in a mouth</i>, much the same as a <b>sound</b> does for the briefest of moments before disappearing.	"* The primitive from this kanji also means simply a sound.	 "	9	If you were standing on the sun, believe me, you´d be making sound.	The tongue wagging in a mouth produces a very high-pitched sound, breaking a nearby vase.	音	あしおと【足音】footsteps (sound)<br/>おんがく【音楽】music; musical movement<br/>ものおと【物音】sounds<br/>ごうおん【轟音】thunderous roar; roaring sound<br/>はつおん【発音】pronunciation<br/>おんせい; おんじょう【音声】voice; (the concept of) sound<br/>せいおん; こわね【声音】vocal sound; tone of voice<br/>おんきょう【音響】sound; noise; echo; acoustics<br/>ろくおん【録音】(audio) recording<br/>ほんね【本音】real intention; motive; true opinion; what one really thinks<br/>みずおと【水音】sound of water<br/>ざつおん【雑音】noise (jarring, grating) / gossip; irresponsible criticism<br/>そうおん【騒音】noise<br/>ばくおん【爆音】(sound of an) explosion or detonation; roar (of a machine)<br/>ねいろ; おんしょく【音いろ】tone color; tone colour; tone quality; timbre / synthesizer patch; synthesiser patch<br/>おんぱ【音波】sound wave<br/>かんのん【観音】Kannon; Kwannon; Goddess of Mercy; Guan Yin; Avalokitesvara; bodhisattva of mercy<br/>くつおと【靴音】walking sound; footsteps<br/>かぜのおと【風の音】sound of the wind; voice of the wind<br/>はおと【羽音】sound of flapping wings (of a bird) / buzz; hum (of an insect)	19	オン, イン, -ノン	おと, ね	479	6	3	[sound:RTK1_keyword_jp_518..mp3]	[sound:RTK1_keyword_en_518.mp3]
519	"<img src=""E69A97.png"" />"	darkness	pimedus		暗い	くらい	dark; gloomy	darkness, sun, day, sound, vase, stand up, sun, day, sun2, day2	"When ""<b>darkness</b> covered the earth"" at the beginning of time, there was neither <i>sun</i> nor <i>sound</i>."		13	Picture the sun exploding - there would be a gigantic noise and then...nothing. Everything would plunge into darkness.	"In places of complete darkness, such as caves where the sun can´t reach, creatures such as bats have learned to navigate by sound rather than sight. The poor guys must have to fly around screaming ""Marco!"" and ""Polo!"" all the time."	暗	くらい【冥い】dark; gloomy / dark (in colour); dull / depressed; dispirited / sorrowful; bitter (as in a dark past) / unclear; unfamiliar; unknown<br/>あんこく【暗黒】darkness<br/>うすぐらい【薄暗い】dim; gloomy<br/>くらやみ【暗やみ】darkness; the dark<br/>まっくら【真暗】total darkness; pitch dark / bleak future; poor prospects<br/>あんじ【暗示】hint; suggestion<br/>あんさつ【暗殺】assassination<br/>くらがり【暗がり】darkness<br/>あんごう【暗号】code; password; cipher<br/>まっくら【真暗】total darkness; pitch dark / bleak future; poor prospects<br/>あんに【暗に】implicitly<br/>あんき【暗記】memorization; memorisation; learning by heart<br/>あんもく【暗黙】tacit; implicit<br/>めいあん【明暗】light and darkness; light and shade<br/>あんしつ【暗室】dark room<br/>あんたん【暗たん】dark; gloomy; somber; depressing<br/>ぎしんあんき【疑心暗鬼】Suspicion will raise bogies; Once you suspect something, everything else will look suspicious; Jumping at shadows<br/>あんやく【暗躍】secret manoeuvering; secret maneuvering; secret manoeuvres; secret maneuvers<br/>うすくらがり【薄暗がり】semi-darkness; dusk; twilight; poor light<br/>あんうん【暗雲】dark clouds	19	アン	くら.い, くら.む, くれ.る	480	243	3	[sound:RTK1_keyword_jp_519..mp3]	[sound:RTK1_keyword_en_519.mp3]
520	"<img src=""E99FBB.png"" />"	rhyme	riim	muusik komponeerib riime	韻	いん	rhyme	rhyme, sound, vase, stand up, sun, day, employee, mouth, shellfish, clam, oyster, eye, animal legs, eight	"Poetry restricted to verses that <b>rhyme</b> often finds it has to abandon clarity of thought in order to make the <b>rhyme</b> of the words work. In this kanji´s picture, one becomes a kind of ""<i>sound-employee</i>."""		19	What is a RHYME but some SOUND that EMPLOYEES say to get them through work.	"Dr Seuss´s employee finally rebels against him: ""I´m tired of odd sounds all the time, I will not, cannot, speak in RHYME!""."	韻	よいん【余韻】reverberation; swelling (of a hymn); trailing note / lingering memory; aftertaste / suggestiveness (of a book, poem, etc.)<br/>いん【韻】rhyme<br/>おんいん【音韻】vocal sound; phoneme<br/>いんりつ【韻律】rhythm; metre (poet)<br/>ふういん【風韻】elegance; tastefulness<br/>いんぶん【韻文】verse; poetry<br/>きいん【気韻】dignity; refinement<br/>しんいん【神韻】exceptional artistry<br/>おういん【押韻】rhyming<br/>きゃくいん【脚韻】rhyme; end rhyme<br/>いんご【韻語】rhyme in a Chinese poem	19	イン		481	2112	1	[sound:RTK1_keyword_jp_520..mp3]	[sound:RTK1_keyword_en_520.mp3]
521	"<img src=""E8AD98.png"" />"	discriminating	läbi nägema		知識	ちしき	knowledge; information	discriminating, say, words, keitai, mouth, kazoo, sound, vase, stand up, sun, day, fiesta	A person of <b>discriminating</b> intellect can tell the difference between mere <i>kazoo</i>-buzzing and <i>words</i> spoken wisely.		19	Words are difficult to discriminate/discern from sounds in the middle of a fiesta.	I have discriminating taste. I´d rather listen to the words of a lecture than attend a kazoo concert. (Picture some snobby guy in a tweed jacket turning up his nose at entering a loud raucous kazoo recital).	識	ちしき【智識】knowledge; information<br/>にんしき【認識】recognition; cognizance; cognisance; knowledge; realization; realisation; awareness; perception<br/>むいしき【無意識】unconsciousness / the unconscious<br/>じょうしき【常識】common sense; good sense; common knowledge; general knowledge; common practice; accepted practice; social etiquette<br/>しきべつ【職別】discrimination; discernment; identification<br/>ひじょうしき【非常識】lack of common sense; thoughtlessness; senselessness; irrationality; absurdity / thoughtless; senseless; unreasonable; absurd; preposterous; aberrant<br/>かんしき【鑑識】judgement; judgment; discernment; discrimination; having eye for / forensics; crime lab<br/>めんしき【面識】acquaintance<br/>ひょうしき【標識】sign; mark; flag<br/>じいしき【自意識】self-consciousness<br/>ちしき【智識】knowledge; information<br/>けんしき【見識】views; opinion; discernment / pride; self-respect<br/>ちしきじん【知識人】intellectual<br/>りょうしき【良識】good sense<br/>はくしき【博識】extensive knowledge<br/>がくしき【学識】scholarship; scientific attainments<br/>びいしき【美意識】sense of beauty; aesthetic sense<br/>しきしゃ【識者】well-informed person; thinking person; intelligent person<br/>がんしき【眼識】discrimination; insight<br/>いちめんしき【一面識】(a) passing acquaintance	19	シキ	し.る, しる.す	482	725	2	[sound:RTK1_keyword_jp_521..mp3]	[sound:RTK1_keyword_en_521.mp3]
522	"<img src=""E98FA1.png"" />"	mirror	peegel	metal, stand-up and sun`s legs. metallist peegel	鏡	かがみ	mirror	mirror, metal, gold, mirror, vase, stand up, sun, day, human legs	After lakes but before glass, polished <i>metal</i> was used for <b>mirrors</b>. These <i>metal mirrors</i> are recalled in this character for a <b>mirror</b>.		19	Mirror should suggest vanity. Imagine a spoiled girl who gets her parents to buy her a Golden mirror so she can stand in front of it all day vainly admiring her lovely human legs.	metal + stand up + sun + legs remember the legend of Amaterasu who retired in a cave. the other Gods brought a MIRROR made of polished METAL at the entrance of the cave. Amaterasu who was STANDING UP saw her image of the SUN and began to dance with her LEGS.	鏡	かがみ【鏡】mirror; looking-glass / barrel head<br/>めがね; がんきょう; メガネ【眼鏡】spectacles; glasses / judgement; discrimination; discernment; insight<br/>そうがんきょう【双眼鏡】binoculars; field glasses<br/>ぼうえんきょう【望遠鏡】telescope<br/>せんぼうきょう【潜望鏡】periscope<br/>きょうだい【鏡台】dresser<br/>てかがみ【手鏡】hand-mirror<br/>けんびきょう【顕微鏡】microscope<br/>きょうめん【鏡面】mirror surface<br/>みずかがみ【水鏡】reflective water surface; reflecting water<br/>まんげきょう; ばんかきょう【万華鏡】kaleidoscope<br/>ろうがんきょう【老眼鏡】reading (farsighted) glasses; spectacles for the aged<br/>はなめがね【鼻眼鏡】pince-nez glasses / Groucho glasses<br/>とおめがね; えんがんきょう【遠眼鏡】spectacles for far-sightedness / telescope<br/>いろめがね【色眼鏡】rose-colored glasses; rose-coloured glasses<br/>かくだいきょう【拡大鏡】magnifying glass; loupe<br/>ロイドめがね【ロイド眼鏡】round glasses with thick plastic rims<br/>かがみもち【鏡餅】mirror-shaped mochi, usu. a pair stacked in order of size with a daidai on top, used as a New Year offering, then cut and eaten on January 11.<br/>おめがね【御眼鏡】(your) judgment; discernment<br/>むしめがね; むしメガネ【虫メガネ】magnifying glass / wrestler of the lowest rank	19	キョウ, ケイ	かがみ	483	486	1	[sound:RTK1_keyword_jp_522..mp3]	[sound:RTK1_keyword_en_522.mp3]
523	"<img src=""E5A283.png"" />"	boundary	piir		辺境	へんきょう	remote region; frontier (district); border(land)	boundary, soil, dirt, ground, mirror, vase, stand up, sun, day, human legs	Imagine the <b>boundary</b> of a plot of <i>land</i> marked with gigantic <i>mirrors</i> enabling the landowner to keep trespassers in sight at all times.		14	In the dense cities of Japan even a small garden is a luxury. In this house, the owner has put mirrors on the boundary of his land so it feels much bigger.	This is an old trick to keep out migrants. You put a bunch of dirty mirrors on the boundary of your land and theirs. When they approach the boundary, what they see in the mirror is their own land and someone that looks like themselves, only dirtier, so they figure your country isn´t any better than their own and they head back home.	境	かんきょう【環境】environment; circumstance<br/>へんきょう【辺境】remote region; frontier (district); border(land)<br/>こっきょう; くにざかい; こっかい【国堺】national border; provincial border<br/>さかい; きょう【境】border; boundary / turning point; watershed / area; region; spot; space; environment / psychological state; mental state / cognitive object; something perceptible by the sense organs or mind<br/>きょうかい【境界】boundary<br/>けいだい【境内】grounds (esp. of shrines and temples); compound; churchyard; precincts<br/>きょうぐう【境遇】environment; circumstances<br/>しんきょう【心境】mental state<br/>さかいめ【境目】border; boundary line; crisis<br/>きょうち【境地】state (of mind); mental state; emotional condition / field (of activity) / one's lot; circumstance; situation in life / place; region; area; land<br/>みさかい【見境】distinction; discrimination<br/>くきょう【苦境】trouble; crisis; predicament; squeeze; pinch<br/>まきょう【魔境】haunts of wicked men<br/>きょうがい【境涯】circumstances; one's situation or lot in life<br/>ひきょう【秘境】unexplored region; one of the most secluded regions<br/>かきょう【佳境】climax (story); best part; most interesting part<br/>いきょう【異境】foreign country; foreign land; strange land; far-off land<br/>ぎゃっきょう【逆境】adversity<br/>えっきょう【越境】border transgression<br/>けんざかい; けんきょう【県境】prefectural border; prefectural boundary	19	キョウ, ケイ	さかい	484	680	2	[sound:RTK1_keyword_jp_523..mp3]	[sound:RTK1_keyword_en_523.mp3]
524	"<img src=""E4BAA1.png"" />"	deceased	surnud		亡くなる	なくなる	to die	deceased, perish, top hat, fishhook	A <i>top hat</i> hanging on a <i>hook</i> in the front hall, right where the <b>deceased</b> left it the day he died, reminds us of him and his kanji.	"* In addition to <i>deceased</i>, the primitive meaning of <i>to perish</i> will also be used for this character.	 "	3	The top hat hanging on a hook belonged to the now deceased Charlie Chaplin.	The recently DECEASED are said to hang their hats on a hook by the door to the afterlife.	亡	なくなる【亡くなる】to die<br/>とうぼう【逃亡】escape; flight; running away; elopement; fleeing<br/>しぼう【死亡】death; mortality / to die; to pass away<br/>みぼうじん【未亡人】widow<br/>めつぼう【滅亡】downfall; ruin; collapse; destruction<br/>ぼうれい【亡霊】ghost; the dead; departed spirits; apparition<br/>ぼうめい【亡命】flight from one's country; seeking asylum; defection; emigration (for political reasons); (going into) exile; becoming a (political) refugee<br/>なき【亡き】the late; the deceased<br/>もうじゃ【亡者】the dead<br/>なくす【亡くす】to lose something / to get rid of / to lose someone (wife, child, etc.)<br/>なきがら【亡骸】remains; corpse; (dead) body<br/>ほろびる【亡びる】to be ruined; to go under; to perish; to be destroyed<br/>ぼうこく【亡国】ruined country<br/>ほろぼす【亡ぼす】to destroy; to overthrow; to wreck; to ruin<br/>そんぼう【存亡】life or death; existence; destiny<br/>ぼうふ【亡父】my deceased father; my late father<br/>なきあと【亡き後】after one's death<br/>ほろぶ【亡ぶ】to be ruined; to go under; to perish; to be destroyed<br/>すいぼう【衰亡】ruin; downfall; collapse<br/>ぼうさい【亡妻】one's late wife	19	ボウ, モウ	な.い, な.き-, ほろ.びる, ほろ.ぶ, ほろ.ぼす	485	985	2	[sound:RTK1_keyword_jp_524..mp3]	[sound:RTK1_keyword_en_524.mp3]
525	"<img src=""E79BB2.png"" />"	blind	pime	dead eyesight	盲人	もうじん	blind person	blind, deceased, perish, top hat, fishhook, eye	If one´s <i>eyes perish</i> before death, one remains <b>blind</b> for the rest of life.		8	Deceased eyes! Easy ;).	A person with deceased eyes is blind.	盲	もうもく【盲目】blindness<br/>めくら; めしい【盲】blindness; blind person / illiteracy; illiterate person / ignorance; ignoramus<br/>もうじん【盲人】blind person<br/>もうもくてき【盲目的】blind (devotion); reckless<br/>もうてん【盲点】blind spot<br/>もんもう【文盲】illiteracy / illiterate person; an illiterate<br/>もうちょう【盲腸】appendix / cecum; caecum; blind gut / appendicitis<br/>しきもう【色盲】color-blindness; colour-blindness<br/>ぼうしん; もうしん【妄信】blind acceptance; blind belief; credulity<br/>もうじゅう【盲従】blind obedience<br/>めくらめっぽう【盲滅法】reckless; blind; without knowing; at random<br/>もうちょうえん【盲腸炎】appendicitis / typhlitis<br/>もうしゃ【盲者】blind person<br/>めくらじま【盲目縞】plain blue cotton<br/>ぼうどう; もうどう【妄動】acting blindly<br/>もうあ【盲唖】blind and dumb<br/>もうしん【盲進】rushing recklessly; presumption<br/>あきめくら【明盲】illiterate or blind person; person who sees without understanding; amaurosis<br/>にわかめくら【俄盲】sudden blindness / one suddenly blinded<br/>もうどうけん【盲導犬】guide dog for the blind; seeing eye dog	19	モウ	めくら	486	1261	1	[sound:RTK1_keyword_jp_525..mp3]	[sound:RTK1_keyword_en_525.mp3]
526	"<img src=""E5A684.png"" />"	delusion	pettekujutlus	perish the thought of an ideal woman	妄想	もうそう	wild idea; delusion	delusion, deceased, perish, top hat, fishhook, woman	"The ""ideal <i>woman</i>"" one daydreams about is no more than a <b>delusion</b>. Hence, <i>perish</i> the thought of her."		6	I had a problem with remembering that ´deceased´ went over the ´woman´. So, here´s my story: The delusional woman was carrying her deceased husband on her back.	If you think you should perish for that woman, you have a major delusion.	妄	もうそう; ぼうそう【妄想】wild idea; delusion<br/>もうしゅう【妄執】deep-rooted delusion; firm conviction (based on incorrect beliefs)<br/>ぼうしん; もうしん【妄信】blind acceptance; blind belief; credulity<br/>もうねん【妄念】conviction based on flawed ideas; obstructive thought<br/>ぼうげん; もうげん【妄言】reckless remark; rash remark; abusive language; thoughtless words<br/>こだいもうそう【誇大妄想】megalomania<br/>めいもう【迷妄】illusion; fallacy; delusion<br/>きょもう【虚妄】falsehood; untruth; delusion<br/>けいきょもうどう【軽挙妄動】rash and blind act<br/>ぼうどう; もうどう【妄動】acting blindly<br/>せんもう【せん妄】delirium<br/>みだり【乱り】selfish; with disregard for order or rules / reckless; rash; careless / loose; bawdy / irrational; illogical<br/>もうご【妄語】lie; falsehood	19	モウ, ボウ	みだ.りに	487	1082	1	[sound:RTK1_keyword_jp_526..mp3]	[sound:RTK1_keyword_en_526.mp3]
